FID,number,station_nu,station_na,decilat,decilong,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19
0,1.000000000000000,50434.000000000000000,Tulihe,50.482999999999997,121.683000000000010,5.100000000000000,4.000000000000000,1.800000000000000,10.699999999999999,18.500000000000000,70.299999999999997,134.400000000000010,55.100000000000001,65.000000000000000,37.600000000000001,13.400000000000000,8.900000000000000,211,204,205,206,206,211,212,213,199,214,189,204,219,214,213,208,202,213,199
1,2.000000000000000,50527.000000000000000,Hailar,49.216999999999999,119.750000000000000,6.500000000000000,0.800000000000000,5.200000000000000,16.000000000000000,16.100000000000001,20.199999999999999,92.400000000000006,50.799999999999997,33.899999999999999,23.199999999999999,1.400000000000000,9.900000000000000,193,190,194,187,187,184,198,186,184,187,177,186,187,185,186,186,183,193,195
2,3.000000000000000,50632.000000000000000,Boketu,48.767000000000003,121.917000000000000,3.100000000000000,1.200000000000000,4.700000000000000,4.300000000000000,8.500000000000000,50.799999999999997,56.700000000000003,128.699999999999990,35.899999999999999,28.600000000000001,1.400000000000000,5.400000000000000,220,208,212,209,210,212,214,218,214,217,188,214,222,223,213,223,201,218,210
3,4.000000000000000,50727.000000000000000,Keerqingyouyiqianqi,47.167000000000002,119.950000000000000,6.600000000000000,3.300000000000000,11.000000000000000,30.199999999999999,16.600000000000001,7.700000000000000,53.200000000000003,55.899999999999999,17.899999999999999,50.000000000000000,6.200000000000000,13.199999999999999,222,213,213,212,208,208,217,218,212,220,206,209,220,218,217,223,200,222,212
4,5.000000000000000,50915.000000000000000,Dongwuzhumuqingqi,45.517000000000003,116.967000000000000,0.000000000000000,2.100000000000000,3.600000000000000,3.700000000000000,15.400000000000000,22.699999999999999,73.099999999999994,27.800000000000001,27.199999999999999,2.600000000000000,0.300000000000000,1.900000000000000,164,156,177,174,174,172,172,162,183,174,172,188,193,173,176,156,192,167,164
5,8.000000000000000,53192.000000000000000,Abagaqi,44.017000000000003,114.950000000000000,0.200000000000000,0.400000000000000,8.100000000000000,2.800000000000000,17.600000000000001,46.799999999999997,72.400000000000006,22.899999999999999,12.100000000000000,1.000000000000000,7.000000000000000,4.000000000000000,164,165,166,170,159,165,169,153,177,158,158,171,183,164,172,156,181,163,159
6,16.000000000000000,54012.000000000000000,Wanggaimiao,44.582999999999998,117.599999999999990,0.000000000000000,1.900000000000000,6.700000000000000,1.300000000000000,29.399999999999999,61.200000000000003,67.900000000000006,20.699999999999999,28.000000000000000,5.600000000000000,23.000000000000000,4.000000000000000,189,182,194,196,184,186,173,175,190,186,184,195,203,190,194,186,188,187,183
7,17.000000000000000,54026.000000000000000,Lubei,44.567000000000000,120.900000000000010,0.000000000000000,1.500000000000000,5.800000000000000,2.200000000000000,12.000000000000000,94.500000000000000,144.199999999999990,37.399999999999999,5.700000000000000,4.900000000000000,0.500000000000000,0.600000000000000,175,186,192,186,192,190,192,178,190,188,188,188,195,174,195,184,190,196,172
8,18.000000000000000,54027.000000000000000,Lindong,43.982999999999997,119.400000000000010,0.000000000000000,1.200000000000000,9.100000000000000,16.600000000000001,11.699999999999999,41.500000000000000,141.699999999999990,20.899999999999999,14.300000000000001,0.300000000000000,3.300000000000000,0.800000000000000,185,182,191,179,191,180,186,186,183,187,184,187,192,192,189,193,186,190,176
9,19.000000000000000,54102.000000000000000,Xilinhaote,43.950000000000003,116.066999999999990,0.800000000000000,1.700000000000000,2.900000000000000,5.300000000000000,2.100000000000000,31.699999999999999,103.200000000000000,28.800000000000001,14.900000000000000,1.000000000000000,14.400000000000000,7.300000000000000,176,177,171,168,175,176,178,165,179,172,175,187,189,173,186,179,190,182,152
10,34.000000000000000,54026.000000000000000,Jarud Qi,44.204000000000001,120.324000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,175,178,188,177,182,178,184,172,177,177,170,179,186,165,176,182,164,169,171
